config,param,threshold,precision_mean,recall_mean,fscore_mean,dim_precision_mean,dim_recall_mean,dim_fscore_mean,time_mean
MatrixProfile_default,20.0,0.5,0.0022886776341938,0.0475,0.004216851725429,0.0,0.0,0.0,2.360879063606262
mMotifs_non_overlap,20.0,0.5,0.0359497068589502,0.345,0.0649974176540211,0.3433333333333334,0.3733333333333333,0.3548333333333332,5.735108709335327
UnivariateAfterPCA_MatrixProfile,20.0,0.5,0.0796072075695584,0.10625,0.0645893362398805,0.0,0.0,0.0,0.2851018190383911
mStamp_MP_reworked_extended,20.0,0.5,0.8450000000000003,0.7425000000000003,0.7769047619047622,0.91375,0.9600000000000004,0.9335714285714288,81.04438393115997
MatrixProfile_default,10.0,0.5,0.0185891863346474,0.0974999999999999,0.0192932244559985,0.0,0.0,0.0,0.6540554761886597
mMotifs_non_overlap,10.0,0.5,0.1588089001903108,0.6425,0.2519814667096144,0.691,0.72,0.698357142857143,2.540590000152588
UnivariateAfterPCA_MatrixProfile,10.0,0.5,0.113488168534568,0.155,0.1059805931665014,0.0,0.0,0.0,0.0930609941482543
mStamp_MP_reworked_extended,10.0,0.5,0.9200000000000002,0.8375,0.8652380952380951,0.9475,0.9866666666666668,0.9642857142857144,8.526388239860534
MatrixProfile_default,50.0,0.5,0.0006645159994195,0.0209999999999999,0.0010495833080841,0.0,0.0,0.0,13.30829393863678
mMotifs_non_overlap,50.0,0.5,0.0066257159332712,0.1804999999999999,0.0127772980134285,0.1689999999999999,0.1873333333333332,0.1767428571428571,21.838138365745543
UnivariateAfterPCA_MatrixProfile,50.0,0.5,0.076997938154724,0.0744999999999999,0.0545269031078559,0.0,0.0,0.0,1.3010075569152832
mStamp_MP_reworked_extended,50.0,0.5,0.8500000000000003,0.7515000000000004,0.7843809523809526,0.9301666666666673,0.9740000000000004,0.9489523809523812,1684.0128697395326
MatrixProfile_default,2.0,0.5,0.1425631313131312,0.4375,0.21012276012276,0.0,0.0,0.0,0.0354949474334716
mMotifs_non_overlap,2.0,0.5,1.0,1.0,1.0,0.8875,1.0,0.935714285714286,0.4645996570587158
UnivariateAfterPCA_MatrixProfile,2.0,0.5,0.1472222222222222,0.1625,0.1391025641025641,0.0,0.0,0.0,0.0120625019073485
mStamp_MP_reworked_extended,2.0,0.5,0.95,0.725,0.7999999999999999,0.875,0.9833333333333334,0.9214285714285716,0.1509052276611327
MatrixProfile_default,5.0,0.5,0.0848373325377901,0.21,0.0968168848730714,0.0,0.0,0.0,0.1766138076782226
mMotifs_non_overlap,5.0,0.5,0.484987900987901,0.9,0.6212585845527021,0.9003333333333334,0.96,0.9211904761904762,1.2389468669891357
UnivariateAfterPCA_MatrixProfile,5.0,0.5,0.1578151260504201,0.22,0.1355844415676198,0.0,0.0,0.0,0.035951805114746
mStamp_MP_reworked_extended,5.0,0.5,0.86,0.72,0.7666666666666668,0.8969999999999999,0.9600000000000002,0.9235714285714288,1.192896270751953
MatrixProfile_default,15.0,0.5,0.0183029345640311,0.1016666666666666,0.0240072268918799,0.0,0.0,0.0,1.3184767723083497
mMotifs_non_overlap,15.0,0.5,0.0749693414656221,0.5033333333333333,0.1300081496923605,0.4927777777777778,0.5266666666666666,0.5071111111111108,4.060526919364929
UnivariateAfterPCA_MatrixProfile,15.0,0.5,0.1630634965110667,0.1583333333333333,0.1240297871247209,0.0,0.0,0.0,0.1816111087799072
mStamp_MP_reworked_extended,15.0,0.5,0.8933333333333332,0.7983333333333333,0.8301587301587301,0.9316666666666666,0.977777777777778,0.9514285714285712,33.91836183071136
MatrixProfile_default,1.0,0.5,0.3133333333333333,0.575,0.381031746031746,0.0,0.0,0.0,0.0129467964172362
mMotifs_non_overlap,1.0,0.5,0.9,0.9,0.9,0.975,1.0,0.9857142857142858,0.2417808294296264
UnivariateAfterPCA_MatrixProfile,1.0,0.5,0.4,0.3,0.3380952380952381,0.0,0.0,0.0,0.0055059194564818
mStamp_MP_reworked_extended,1.0,0.5,0.9,0.9,0.9,0.975,1.0,0.9857142857142858,0.0526693105697631
