metric,value
es-precision_0.0,0.13676470588235295
es-recall_0.0,0.275
es-fscore_0.0,0.1467669172932331
es-precision_0.01,0.13676470588235295
es-recall_0.01,0.275
es-fscore_0.01,0.1467669172932331
es-precision_0.02,0.13676470588235295
es-recall_0.02,0.275
es-fscore_0.02,0.1467669172932331
es-precision_0.03,0.13676470588235295
es-recall_0.03,0.275
es-fscore_0.03,0.1467669172932331
es-precision_0.04,0.13676470588235295
es-recall_0.04,0.275
es-fscore_0.04,0.1467669172932331
es-precision_0.05,0.03676470588235294
es-recall_0.05,0.2
es-fscore_0.05,0.06105263157894737
es-precision_0.06,0.03676470588235294
es-recall_0.06,0.2
es-fscore_0.06,0.06105263157894737
es-precision_0.07,0.03676470588235294
es-recall_0.07,0.2
es-fscore_0.07,0.06105263157894737
es-precision_0.08,0.03676470588235294
es-recall_0.08,0.2
es-fscore_0.08,0.06105263157894737
es-precision_0.09,0.03676470588235294
es-recall_0.09,0.2
es-fscore_0.09,0.06105263157894737
es-precision_0.1,0.03676470588235294
es-recall_0.1,0.2
es-fscore_0.1,0.06105263157894737
es-precision_0.11,0.03676470588235294
es-recall_0.11,0.2
es-fscore_0.11,0.06105263157894737
es-precision_0.12,0.03676470588235294
es-recall_0.12,0.2
es-fscore_0.12,0.06105263157894737
es-precision_0.13,0.03676470588235294
es-recall_0.13,0.2
es-fscore_0.13,0.06105263157894737
es-precision_0.14,0.03676470588235294
es-recall_0.14,0.2
es-fscore_0.14,0.06105263157894737
es-precision_0.15,0.03676470588235294
es-recall_0.15,0.2
es-fscore_0.15,0.06105263157894737
es-precision_0.16,0.03676470588235294
es-recall_0.16,0.2
es-fscore_0.16,0.06105263157894737
es-precision_0.17,0.03676470588235294
es-recall_0.17,0.2
es-fscore_0.17,0.06105263157894737
es-precision_0.18,0.03676470588235294
es-recall_0.18,0.2
es-fscore_0.18,0.06105263157894737
es-precision_0.19,0.03676470588235294
es-recall_0.19,0.2
es-fscore_0.19,0.06105263157894737
es-precision_0.2,0.03676470588235294
es-recall_0.2,0.2
es-fscore_0.2,0.06105263157894737
es-precision_0.21,0.03676470588235294
es-recall_0.21,0.2
es-fscore_0.21,0.06105263157894737
es-precision_0.22,0.03676470588235294
es-recall_0.22,0.2
es-fscore_0.22,0.06105263157894737
es-precision_0.23,0.03676470588235294
es-recall_0.23,0.2
es-fscore_0.23,0.06105263157894737
es-precision_0.24,0.03676470588235294
es-recall_0.24,0.2
es-fscore_0.24,0.06105263157894737
es-precision_0.25,0.03676470588235294
es-recall_0.25,0.2
es-fscore_0.25,0.06105263157894737
es-precision_0.26,0.03676470588235294
es-recall_0.26,0.2
es-fscore_0.26,0.06105263157894737
es-precision_0.27,0.03676470588235294
es-recall_0.27,0.2
es-fscore_0.27,0.06105263157894737
es-precision_0.28,0.03676470588235294
es-recall_0.28,0.2
es-fscore_0.28,0.06105263157894737
es-precision_0.29,0.03676470588235294
es-recall_0.29,0.2
