metric,value
es-precision_0.0,1.0
es-recall_0.0,0.8999999999999999
es-fscore_0.0,0.9333333333333336
es-precision_0.01,1.0
es-recall_0.01,0.8999999999999999
es-fscore_0.01,0.9333333333333336
es-precision_0.02,1.0
es-recall_0.02,0.8999999999999999
es-fscore_0.02,0.9333333333333336
es-precision_0.03,1.0
es-recall_0.03,0.8999999999999999
es-fscore_0.03,0.9333333333333336
es-precision_0.04,1.0
es-recall_0.04,0.8999999999999999
es-fscore_0.04,0.9333333333333336
es-precision_0.05,1.0
es-recall_0.05,0.8999999999999999
es-fscore_0.05,0.9333333333333336
es-precision_0.06,1.0
es-recall_0.06,0.8999999999999999
es-fscore_0.06,0.9333333333333336
es-precision_0.07,1.0
es-recall_0.07,0.8999999999999999
es-fscore_0.07,0.9333333333333336
es-precision_0.08,1.0
es-recall_0.08,0.8999999999999999
es-fscore_0.08,0.9333333333333336
es-precision_0.09,1.0
es-recall_0.09,0.8999999999999999
es-fscore_0.09,0.9333333333333336
es-precision_0.1,1.0
es-recall_0.1,0.8999999999999999
es-fscore_0.1,0.9333333333333336
es-precision_0.11,1.0
es-recall_0.11,0.8999999999999999
es-fscore_0.11,0.9333333333333336
es-precision_0.12,1.0
es-recall_0.12,0.8999999999999999
es-fscore_0.12,0.9333333333333336
es-precision_0.13,1.0
es-recall_0.13,0.8999999999999999
es-fscore_0.13,0.9333333333333336
es-precision_0.14,1.0
es-recall_0.14,0.8999999999999999
es-fscore_0.14,0.9333333333333336
es-precision_0.15,1.0
es-recall_0.15,0.8999999999999999
es-fscore_0.15,0.9333333333333336
es-precision_0.16,1.0
es-recall_0.16,0.8999999999999999
es-fscore_0.16,0.9333333333333336
es-precision_0.17,1.0
es-recall_0.17,0.8999999999999999
es-fscore_0.17,0.9333333333333336
es-precision_0.18,1.0
es-recall_0.18,0.8999999999999999
es-fscore_0.18,0.9333333333333336
es-precision_0.19,1.0
es-recall_0.19,0.8999999999999999
es-fscore_0.19,0.9333333333333336
es-precision_0.2,1.0
es-recall_0.2,0.8999999999999999
es-fscore_0.2,0.9333333333333336
es-precision_0.21,1.0
es-recall_0.21,0.8999999999999999
es-fscore_0.21,0.9333333333333336
es-precision_0.22,1.0
es-recall_0.22,0.8999999999999999
es-fscore_0.22,0.9333333333333336
es-precision_0.23,1.0
es-recall_0.23,0.8999999999999999
es-fscore_0.23,0.9333333333333336
es-precision_0.24,1.0
es-recall_0.24,0.8999999999999999
es-fscore_0.24,0.9333333333333336
es-precision_0.25,1.0
es-recall_0.25,0.8999999999999999
es-fscore_0.25,0.9333333333333336
es-precision_0.26,1.0
es-recall_0.26,0.8999999999999999
es-fscore_0.26,0.9333333333333336
es-precision_0.27,1.0
es-recall_0.27,0.8999999999999999
es-fscore_0.27,0.9333333333333336
es-precision_0.28,1.0
es-recall_0.28,0.8999999999999999
es-fscore_0.28,0.9333333333333336
es-precision_0.29,1.0
es-recall_0.29,0.8999999999999999
