metric,value
es-precision_0.0,0.1239632279173306
es-recall_0.0,0.13499999999999998
es-fscore_0.0,0.10687427434742014
es-precision_0.01,0.11203336366393693
es-recall_0.01,0.105
es-fscore_0.01,0.09058109040717738
es-precision_0.02,0.11203336366393693
es-recall_0.02,0.105
es-fscore_0.02,0.09058109040717738
es-precision_0.03,0.09203336366393693
es-recall_0.03,0.09
es-fscore_0.03,0.07343823326432022
es-precision_0.04,0.09203336366393693
es-recall_0.04,0.09
es-fscore_0.04,0.07343823326432022
es-precision_0.05,0.08536669699727026
es-recall_0.05,0.08
es-fscore_0.05,0.06543823326432023
es-precision_0.06,0.08536669699727026
es-recall_0.06,0.08
es-fscore_0.06,0.06543823326432023
es-precision_0.07,0.08536669699727026
es-recall_0.07,0.08
es-fscore_0.07,0.06543823326432023
es-precision_0.08,0.08536669699727026
es-recall_0.08,0.08
es-fscore_0.08,0.06543823326432023
es-precision_0.09,0.08336669699727026
es-recall_0.09,0.075
es-fscore_0.09,0.06258109040717737
es-precision_0.1,0.08336669699727026
es-recall_0.1,0.075
es-fscore_0.1,0.06258109040717737
es-precision_0.11,0.08336669699727026
es-recall_0.11,0.075
es-fscore_0.11,0.06258109040717737
es-precision_0.12,0.08336669699727026
es-recall_0.12,0.075
es-fscore_0.12,0.06258109040717737
es-precision_0.13,0.08193812556869882
es-recall_0.13,0.06999999999999999
es-fscore_0.13,0.060358868184955144
es-precision_0.14,0.08193812556869882
es-recall_0.14,0.06999999999999999
es-fscore_0.14,0.060358868184955144
es-precision_0.15,0.08050955414012739
es-recall_0.15,0.065
es-fscore_0.15,0.05813664596273292
es-precision_0.16,0.08050955414012739
es-recall_0.16,0.065
es-fscore_0.16,0.05813664596273292
es-precision_0.17,0.06050955414012739
es-recall_0.17,0.055
es-fscore_0.17,0.044803312629399586
es-precision_0.18,0.06050955414012739
es-recall_0.18,0.055
es-fscore_0.18,0.044803312629399586
es-precision_0.19,0.06050955414012739
es-recall_0.19,0.055
es-fscore_0.19,0.044803312629399586
es-precision_0.2,0.06050955414012739
es-recall_0.2,0.055
es-fscore_0.2,0.044803312629399586
es-precision_0.21,0.06050955414012739
es-recall_0.21,0.055
es-fscore_0.21,0.044803312629399586
es-precision_0.22,0.06050955414012739
es-recall_0.22,0.055
es-fscore_0.22,0.044803312629399586
es-precision_0.23,0.06050955414012739
es-recall_0.23,0.055
es-fscore_0.23,0.044803312629399586
es-precision_0.24,0.06050955414012739
es-recall_0.24,0.055
es-fscore_0.24,0.044803312629399586
es-precision_0.25,0.06050955414012739
es-recall_0.25,0.055
es-fscore_0.25,0.044803312629399586
es-precision_0.26,0.06050955414012739
es-recall_0.26,0.055
es-fscore_0.26,0.044803312629399586
es-precision_0.27,0.06050955414012739
es-recall_0.27,0.055
es-fscore_0.27,0.044803312629399586
es-precision_0.28,0.06050955414012739
es-recall_0.28,0.055
es-fscore_0.28,0.044803312629399586
es-precision_0.29,0.06050955414012739
es-recall_0.29,0.055
es-fscore_0.29,0.044803312629399586
es-precision_0.3,0.06050955414012739
es-recall_0.3,0.055
es-fscore_0.3,0.044803312629399586
es-precision_0.31,0.06050955414012739
es-recall_0.31,0.055
es-fscore_0.31,0.044803312629399586
es-precision_0.32,0.06050955414012739
es-recall_0.32,0.055
es-fscore_0.32,0.044803312629399586
es-precision_0.33,0.040509554140127385
es-recall_0.33,0.04
es-fscore_0.33,0.027660455486542446
es-precision_0.34,0.040509554140127385
es-recall_0.34,0.04
es-fscore_0.34,0.027660455486542446
es-precision_0.35,0.040509554140127385
es-recall_0.35,0.04
es-fscore_0.35,0.027660455486542446
es-precision_0.36,0.040509554140127385
es-recall_0.36,0.04
es-fscore_0.36,0.027660455486542446
es-precision_0.37,0.040509554140127385
es-recall_0.37,0.04
es-fscore_0.37,0.027660455486542446
es-precision_0.38,0.040509554140127385
es-recall_0.38,0.04
es-fscore_0.38,0.027660455486542446
es-precision_0.39,0.040509554140127385
es-recall_0.39,0.04
es-fscore_0.39,0.027660455486542446
es-precision_0.4,0.040509554140127385
es-recall_0.4,0.04
es-fscore_0.4,0.027660455486542446
es-precision_0.41,0.040509554140127385
es-recall_0.41,0.04
es-fscore_0.41,0.027660455486542446
es-precision_0.42,0.040509554140127385
es-recall_0.42,0.04
es-fscore_0.42,0.027660455486542446
es-precision_0.43,0.040509554140127385
es-recall_0.43,0.04
es-fscore_0.43,0.027660455486542446
es-precision_0.44,0.040509554140127385
es-recall_0.44,0.04
es-fscore_0.44,0.027660455486542446
es-precision_0.45,0.040509554140127385
es-recall_0.45,0.04
es-fscore_0.45,0.027660455486542446
es-precision_0.46,0.040509554140127385
es-recall_0.46,0.04
es-fscore_0.46,0.027660455486542446
es-precision_0.47,0.040509554140127385
es-recall_0.47,0.04
es-fscore_0.47,0.027660455486542446
es-precision_0.48,0.040509554140127385
es-recall_0.48,0.04
es-fscore_0.48,0.027660455486542446
es-precision_0.49,0.040509554140127385
es-recall_0.49,0.04
es-fscore_0.49,0.027660455486542446
es-precision_0.5,0.04038216560509554
es-recall_0.5,0.04
es-fscore_0.5,0.02741666666666667
es-precision_0.51,0.04038216560509554
es-recall_0.51,0.04
es-fscore_0.51,0.02741666666666667
es-precision_0.52,0.04038216560509554
es-recall_0.52,0.04
es-fscore_0.52,0.02741666666666667
es-precision_0.53,0.04038216560509554
es-recall_0.53,0.04
es-fscore_0.53,0.02741666666666667
es-precision_0.54,0.04038216560509554
es-recall_0.54,0.04
es-fscore_0.54,0.02741666666666667
es-precision_0.55,0.04038216560509554
es-recall_0.55,0.04
es-fscore_0.55,0.02741666666666667
es-precision_0.56,0.04038216560509554
es-recall_0.56,0.04
es-fscore_0.56,0.02741666666666667
es-precision_0.57,0.04038216560509554
es-recall_0.57,0.04
es-fscore_0.57,0.02741666666666667
es-precision_0.58,0.04038216560509554
es-recall_0.58,0.04
es-fscore_0.58,0.02741666666666667
es-precision_0.59,0.04038216560509554
es-recall_0.59,0.04
es-fscore_0.59,0.02741666666666667
es-precision_0.6,0.04038216560509554
es-recall_0.6,0.04
es-fscore_0.6,0.02741666666666667
es-precision_0.61,0.04038216560509554
es-recall_0.61,0.04
es-fscore_0.61,0.02741666666666667
es-precision_0.62,0.04038216560509554
es-recall_0.62,0.04
es-fscore_0.62,0.02741666666666667
es-precision_0.63,0.04038216560509554
es-recall_0.63,0.04
es-fscore_0.63,0.02741666666666667
es-precision_0.64,0.04038216560509554
es-recall_0.64,0.04
es-fscore_0.64,0.02741666666666667
es-precision_0.65,0.04038216560509554
es-recall_0.65,0.04
es-fscore_0.65,0.02741666666666667
es-precision_0.66,0.04038216560509554
es-recall_0.66,0.04
es-fscore_0.66,0.02741666666666667
es-precision_0.67,0.04038216560509554
es-recall_0.67,0.04
es-fscore_0.67,0.02741666666666667
es-precision_0.68,0.04038216560509554
es-recall_0.68,0.04
es-fscore_0.68,0.02741666666666667
es-precision_0.69,0.04038216560509554
es-recall_0.69,0.04
es-fscore_0.69,0.02741666666666667
es-precision_0.7,0.04038216560509554
es-recall_0.7,0.04
es-fscore_0.7,0.02741666666666667
es-precision_0.71,0.04038216560509554
es-recall_0.71,0.04
es-fscore_0.71,0.02741666666666667
es-precision_0.72,0.04038216560509554
es-recall_0.72,0.04
es-fscore_0.72,0.02741666666666667
es-precision_0.73,0.04038216560509554
es-recall_0.73,0.04
es-fscore_0.73,0.02741666666666667
es-precision_0.74,0.04038216560509554
es-recall_0.74,0.04
es-fscore_0.74,0.02741666666666667
es-precision_0.75,0.04038216560509554
es-recall_0.75,0.04
es-fscore_0.75,0.02741666666666667
es-precision_0.76,0.04038216560509554
es-recall_0.76,0.04
es-fscore_0.76,0.02741666666666667
es-precision_0.77,0.04038216560509554
es-recall_0.77,0.04
es-fscore_0.77,0.02741666666666667
es-precision_0.78,0.04038216560509554
es-recall_0.78,0.04
es-fscore_0.78,0.02741666666666667
es-precision_0.79,0.04038216560509554
es-recall_0.79,0.04
es-fscore_0.79,0.02741666666666667
es-precision_0.8,0.04038216560509554
es-recall_0.8,0.04
es-fscore_0.8,0.02741666666666667
es-precision_0.81,0.04038216560509554
es-recall_0.81,0.04
es-fscore_0.81,0.02741666666666667
es-precision_0.82,0.04038216560509554
es-recall_0.82,0.04
es-fscore_0.82,0.02741666666666667
es-precision_0.83,0.04038216560509554
es-recall_0.83,0.04
es-fscore_0.83,0.02741666666666667
es-precision_0.84,0.04038216560509554
es-recall_0.84,0.04
es-fscore_0.84,0.02741666666666667
es-precision_0.85,0.04038216560509554
es-recall_0.85,0.04
es-fscore_0.85,0.02741666666666667
es-precision_0.86,0.04038216560509554
es-recall_0.86,0.04
es-fscore_0.86,0.02741666666666667
es-precision_0.87,0.04038216560509554
es-recall_0.87,0.04
es-fscore_0.87,0.02741666666666667
es-precision_0.88,0.02038216560509554
es-recall_0.88,0.03
es-fscore_0.88,0.014083333333333335
es-precision_0.89,0.02038216560509554
es-recall_0.89,0.03
es-fscore_0.89,0.014083333333333335
es-precision_0.9,0.02038216560509554
es-recall_0.9,0.03
es-fscore_0.9,0.014083333333333335
es-precision_0.91,0.02038216560509554
es-recall_0.91,0.03
es-fscore_0.91,0.014083333333333335
es-precision_0.92,0.02038216560509554
es-recall_0.92,0.03
es-fscore_0.92,0.014083333333333335
es-precision_0.93,0.02038216560509554
es-recall_0.93,0.03
es-fscore_0.93,0.014083333333333335
