metric,value
es-precision_0.0,0.6904560934812659
es-recall_0.0,0.7105531609195401
es-fscore_0.0,0.6857753860683273
es-precision_min_0.0,0.24637248207579382
es-recall_min_0.0,0.27586206896551724
es-fscore_min_0.0,0.24353946466433918
es-precision_max_0.0,0.9776785714285714
es-recall_max_0.0,0.984375
es-fscore_max_0.0,0.9737103174603174
es-precision_0.01,0.6904560934812659
es-recall_0.01,0.7105531609195401
es-fscore_0.01,0.6857753860683273
es-precision_min_0.01,0.24637248207579382
es-recall_min_0.01,0.27586206896551724
es-fscore_min_0.01,0.24353946466433918
es-precision_max_0.01,0.9776785714285714
es-recall_max_0.01,0.984375
es-fscore_max_0.01,0.9737103174603174
es-precision_0.02,0.6904560934812659
es-recall_0.02,0.7105531609195401
es-fscore_0.02,0.6857753860683273
es-precision_min_0.02,0.24637248207579382
es-recall_min_0.02,0.27586206896551724
es-fscore_min_0.02,0.24353946466433918
es-precision_max_0.02,0.9776785714285714
es-recall_max_0.02,0.984375
es-fscore_max_0.02,0.9737103174603174
es-precision_0.03,0.6904560934812659
es-recall_0.03,0.7105531609195401
es-fscore_0.03,0.6857753860683273
es-precision_min_0.03,0.24637248207579382
es-recall_min_0.03,0.27586206896551724
es-fscore_min_0.03,0.24353946466433918
es-precision_max_0.03,0.9776785714285714
es-recall_max_0.03,0.984375
es-fscore_max_0.03,0.9737103174603174
es-precision_0.04,0.6904560934812659
es-recall_0.04,0.7105531609195401
es-fscore_0.04,0.6857753860683273
es-precision_min_0.04,0.24637248207579382
es-recall_min_0.04,0.27586206896551724
es-fscore_min_0.04,0.24353946466433918
es-precision_max_0.04,0.9776785714285714
es-recall_max_0.04,0.984375
es-fscore_max_0.04,0.9737103174603174
es-precision_0.05,0.6904560934812659
es-recall_0.05,0.7105531609195401
es-fscore_0.05,0.6857753860683273
es-precision_min_0.05,0.24637248207579382
es-recall_min_0.05,0.27586206896551724
es-fscore_min_0.05,0.24353946466433918
es-precision_max_0.05,0.9776785714285714
es-recall_max_0.05,0.984375
es-fscore_max_0.05,0.9737103174603174
es-precision_0.06,0.6904560934812659
es-recall_0.06,0.7105531609195401
es-fscore_0.06,0.6857753860683273
es-precision_min_0.06,0.24637248207579382
es-recall_min_0.06,0.27586206896551724
es-fscore_min_0.06,0.24353946466433918
es-precision_max_0.06,0.9776785714285714
es-recall_max_0.06,0.984375
es-fscore_max_0.06,0.9737103174603174
es-precision_0.07,0.6904560934812659
es-recall_0.07,0.7105531609195401
es-fscore_0.07,0.6857753860683273
es-precision_min_0.07,0.24637248207579382
es-recall_min_0.07,0.27586206896551724
es-fscore_min_0.07,0.24353946466433918
es-precision_max_0.07,0.9776785714285714
es-recall_max_0.07,0.984375
es-fscore_max_0.07,0.9737103174603174
es-precision_0.08,0.6904560934812659
es-recall_0.08,0.7105531609195401
es-fscore_0.08,0.6857753860683273
es-precision_min_0.08,0.24637248207579382
es-recall_min_0.08,0.27586206896551724
es-fscore_min_0.08,0.24353946466433918
es-precision_max_0.08,0.9776785714285714
es-recall_max_0.08,0.984375
es-fscore_max_0.08,0.9737103174603174
es-precision_0.09,0.6904560934812659
es-recall_0.09,0.7105531609195401
es-fscore_0.09,0.6857753860683273
es-precision_min_0.09,0.24637248207579382
es-recall_min_0.09,0.27586206896551724
es-fscore_min_0.09,0.24353946466433918
es-precision_max_0.09,0.9776785714285714
es-recall_max_0.09,0.984375
es-fscore_max_0.09,0.9737103174603174
es-precision_0.1,0.6904560934812659
es-recall_0.1,0.7105531609195401
es-fscore_0.1,0.6857753860683273
es-precision_min_0.1,0.24637248207579382
es-recall_min_0.1,0.27586206896551724
es-fscore_min_0.1,0.24353946466433918
es-precision_max_0.1,0.9776785714285714
es-recall_max_0.1,0.984375
es-fscore_max_0.1,0.9737103174603174
es-precision_0.11,0.6904560934812659
es-recall_0.11,0.7105531609195401
es-fscore_0.11,0.6857753860683273
es-precision_min_0.11,0.24637248207579382
es-recall_min_0.11,0.27586206896551724
es-fscore_min_0.11,0.24353946466433918
es-precision_max_0.11,0.9776785714285714
es-recall_max_0.11,0.984375
es-fscore_max_0.11,0.9737103174603174
es-precision_0.12,0.6904560934812659
es-recall_0.12,0.7105531609195401
es-fscore_0.12,0.6857753860683273
es-precision_min_0.12,0.24637248207579382
es-recall_min_0.12,0.27586206896551724
es-fscore_min_0.12,0.24353946466433918
es-precision_max_0.12,0.9776785714285714
es-recall_max_0.12,0.984375
es-fscore_max_0.12,0.9737103174603174
es-precision_0.13,0.6904560934812659
es-recall_0.13,0.7105531609195401
es-fscore_0.13,0.6857753860683273
es-precision_min_0.13,0.24637248207579382
es-recall_min_0.13,0.27586206896551724
es-fscore_min_0.13,0.24353946466433918
es-precision_max_0.13,0.9776785714285714
es-recall_max_0.13,0.984375
es-fscore_max_0.13,0.9737103174603174
es-precision_0.14,0.6904560934812659
es-recall_0.14,0.7105531609195401
es-fscore_0.14,0.6857753860683273
es-precision_min_0.14,0.24637248207579382
es-recall_min_0.14,0.27586206896551724
es-fscore_min_0.14,0.24353946466433918
es-precision_max_0.14,0.9776785714285714
es-recall_max_0.14,0.984375
es-fscore_max_0.14,0.9737103174603174
es-precision_0.15,0.6904560934812659
es-recall_0.15,0.7105531609195401
es-fscore_0.15,0.6857753860683273
es-precision_min_0.15,0.24637248207579382
es-recall_min_0.15,0.27586206896551724
es-fscore_min_0.15,0.24353946466433918
es-precision_max_0.15,0.9776785714285714
es-recall_max_0.15,0.984375
es-fscore_max_0.15,0.9737103174603174
es-precision_0.16,0.6904560934812659
es-recall_0.16,0.7105531609195401
es-fscore_0.16,0.6857753860683273
es-precision_min_0.16,0.24637248207579382
es-recall_min_0.16,0.27586206896551724
es-fscore_min_0.16,0.24353946466433918
es-precision_max_0.16,0.9776785714285714
es-recall_max_0.16,0.984375
es-fscore_max_0.16,0.9737103174603174
es-precision_0.17,0.6904560934812659
es-recall_0.17,0.7105531609195401
es-fscore_0.17,0.6857753860683273
es-precision_min_0.17,0.24637248207579382
es-recall_min_0.17,0.27586206896551724
es-fscore_min_0.17,0.24353946466433918
es-precision_max_0.17,0.9776785714285714
es-recall_max_0.17,0.984375
es-fscore_max_0.17,0.9737103174603174
es-precision_0.18,0.6904560934812659
es-recall_0.18,0.7105531609195401
es-fscore_0.18,0.6857753860683273
es-precision_min_0.18,0.24637248207579382
es-recall_min_0.18,0.27586206896551724
es-fscore_min_0.18,0.24353946466433918
es-precision_max_0.18,0.9776785714285714
